id	term	count
158	part	198
159	only	197
160	graph	196
161	focus	195
162	main	195
163	training	195
164	specific	194
165	improve	193
166	identify	192
167	human	191
168	springer-verlag	191
169	tweet	189
170	datasets	189
171	obtained	187
172	level	186
173	quality	184
174	score	183
175	extracting	182
176	development	180
177	twitter	178
178	help	175
179	make	172
180	neural	172
181	finding	172
182	given	170
183	three	169
184	english	168
185	find	166
186	phrase	166
187	effective	164
188	medical	164
189	ltd	163
190	way	162
191	value	162
192	summary	162
193	methodology	161
194	provides	160
195	emotion	159
196	step	158
197	may	158
198	category	157
199	deep	156
200	database	156
201	state-of-the-art	155
202	like	154
203	aspect	154
204	report	154
205	high	154
206	software	153
207	due	152
208	including	152
209	current	152
210	traditional	151
211	analyze	151
212	therefore	150
213	precision	149
214	best	149
215	modeling	149
216	identification	149
217	test	146
218	selection	146
219	solution	144
220	researcher	144
221	recent	144
222	community	144
223	linguistic	143
224	statistical	143
225	query	142
226	chinese	142
227	decision	141
228	significant	141
229	structured	141
230	among	139
231	arabic	139
232	group	139
233	i	138
234	standard	138
235	multiple	137
236	evaluate	137
237	purpose	135
238	people	135
239	key	134
240	negative	134
241	interest	133
242	evaluated	133
243	short	133
244	internet	132
245	presented	131
246	generated	131
247	second	130
248	year	130
249	rule	130
250	computational	127
251	cluster	127
252	company	126
253	design	126
254	positive	126
255	address	125
256	thus	125
257	public	125
258	potential	124
259	us	124
260	finally	124
261	health	124
262	demonstrate	123
263	become	123
264	recall	123
265	lexicon	123
266	particular	123
267	clinical	122
268	annotation	122
269	addition	121
270	often	121
271	automated	121
272	general	121
273	class	121
274	common	120
275	attention	119
276	according	119
277	role	118
278	record	118
279	trend	118
280	comment	118
281	discovery	118
282	name	117
283	understanding	116
284	similar	116
285	achieved	115
286	f	115
287	component	115
288	frequency	115
289	gene	115
290	financial	115
291	goal	115
292	possible	114
293	v	113
294	supervised	113
295	space	113
296	g	113
297	improvement	113
298	association	112
299	analyzing	112
300	effectiveness	112
301	strategy	112
302	world	110
303	example	110
304	answer	110
305	disease	109
306	identifying	108
307	target	108
308	major	108
309	previous	106
310	lexical	106
311	proposes	106
312	performed	106
313	limited	105
314	complex	105
315	impact	105
316	found	105
317	comparison	105
318	interaction	105
319	etc	103
320	within	103
321	detect	103
322	market	103
323	could	103
324	answering	103
325	prediction	103
326	b	102
327	called	102
328	combination	101
329	able	100
330	challenging	100
331	since	100
332	conducted	100
333	significantly	100
334	achieve	100
335	random	100
336	project	100
337	individual	99
338	polarity	99
339	organization	98
340	efficient	98
341	moreover	98
342	platform	98
343	written	98
344	keywords	97
345	input	97
346	stemming	97
347	perform	96
348	applying	96
349	objective	96
350	message	96
351	compare	95
352	future	95
353	embeddings	95
354	baseline	94
355	difficult	94
356	big	94
357	making	94
358	ner	94
359	requirement	94
360	expert	93
361	rate	93
362	increase	93
363	list	93
364	post	92
365	dictionary	92
366	generate	91
367	syntactic	91
368	fuzzy	91
369	valuable	90
370	apply	90
371	annotated	90
372	highly	90
373	open	90
374	base	90
375	develop	89
376	description	89
377	give	89
378	effectively	89
379	intelligence	89
380	mean	88
381	promising	88
382	describe	88
383	meaning	88
384	build	88
385	function	88
386	allows	88
387	abstract	88
388	outperforms	88
389	effect	87
390	understand	87
391	expression	87
392	importance	87
393	svm	86
394	computer	86
395	fact	86
396	represent	86
397	capture	85
398	patient	85
399	feedback	85
400	without	85
401	unsupervised	85
402	insight	84
403	considered	84
404	keyword	84
405	take	83
406	effort	83
407	latent	83
408	recommendation	83
409	contribution	83
410	associated	83
411	communication	82
412	phase	82
413	stemmer	82
414	classify	82
415	wikipedia	82
416	made	81
417	weight	81
418	include	81
419	semantics	81
420	state	81
421	hybrid	81
422	contain	80
423	identified	80
424	especially	80
425	hierarchical	80
426	respectively	80
427	popular	80
428	pair	79
429	discus	79
430	determine	79
431	improved	79
432	four	79
433	architecture	78
434	trained	78
435	benchmark	78
436	collected	78
437	analytics	78
438	ability	78
439	volume	78
440	furthermore	78
441	essential	78
442	specifically	78
443	management	78
444	manually	78
445	matching	78
446	patent	78
447	characteristic	77
448	metric	77
449	up	77
450	u	77
451	increasing	77
452	huge	77
453	shared	77
454	produce	76
455	overview	76
456	construction	76
457	no	76
458	combine	76
459	towards	76
460	translation	76
461	publication	75
462	still	75
463	predict	75
464	across	75
465	domain-specific	75
466	scheme	75
467	good	74
468	preprocessing	74
469	obtain	74
470	higher	74
471	known	74
472	describes	74
473	real	73
474	discussed	73
475	site	73
476	bayes	73
477	recently	72
478	survey	72
479	tree	72
480	map	72
481	implemented	72
482	generation	71
483	average	71
484	influence	71
485	global	71
486	discover	71
487	digital	70
488	change	70
489	growth	70
490	detecting	70
491	combining	70
492	requires	70
493	single	70
494	simple	70
495	overall	70
496	error	70
497	play	69
498	building	69
499	consists	69
500	engine	69
501	temporal	69
502	text-mining	69
503	although	69
504	if	69
505	factor	68
506	considering	68
507	environment	68
508	usually	68
509	engineering	67
510	doe	67
511	legal	67
512	size	67
513	code	67
514	introduced	67
515	practical	67
516	rating	67
517	video	67
518	label	67
519	distribution	67
520	described	67
521	hand	67
522	categorization	67
523	great	66
524	accurate	66
525	comprehensive	66
526	variety	66
527	combined	66
528	long	66
529	candidate	66
530	employed	66
531	designed	66
532	efficiency	66
533	relatedness	66
534	even	65
535	introduce	65
536	activity	65
537	much	65
538	procedure	65
539	website	65
540	dynamic	65
541	selected	64
542	speech	64
543	namely	64
544	ranking	64
545	provided	64
546	consumer	64
547	stock	64
548	widely	64
549	page	64
550	protein	64
551	analyzed	63
552	providing	63
553	index	63
554	indicate	63
555	basic	63
556	advantage	62
557	advanced	62
558	limitation	62
559	module	62
560	implementation	62
561	manual	62
562	behavior	62
563	mapping	62
564	basis	62
565	movie	62
566	multilingual	62
567	location	62
568	developing	61
569	view	61
570	correlation	61
571	published	61
572	appropriate	61
573	done	61
574	industry	61
575	together	61
576	subject	61
577	mention	61
578	built	61
579	singapore	61
580	cancer	60
581	employ	60
582	crucial	60
583	carried	60
584	student	60
585	difference	60
586	includes	60
587	conceptual	60
588	embedding	59
589	empirical	59
590	reference	59
591	access	59
592	via	59
593	tagging	59
594	consider	59
595	segmentation	59
596	range	58
597	mechanism	58
598	university	58
599	produced	58
600	tested	58
601	perspective	58
602	mainly	58
603	parameter	58
604	response	58
605	growing	58
606	forum	58
607	contextual	57
608	along	57
609	idea	57
610	construct	57
611	dependency	57
612	resulting	57
613	drug	57
614	indexing	57
615	character	57
616	layer	57
617	constructed	57
618	deal	57
619	vocabulary	57
620	corresponding	56
621	book	56
622	hence	56
623	electronic	56
624	theory	56
625	facilitate	56
626	meaningful	56
627	get	56
628	visualization	56
629	interesting	56
630	pte	56
631	biological	56
632	hidden	55
633	lack	55
634	showed	55
635	real-world	55
636	easily	55
637	kind	55
638	rich	55
639	offer	55
640	definition	55
641	benefit	55
642	point	55
643	original	55
644	material	55
645	technical	55
646	last	55
647	sequence	54
648	direction	54
649	small	54
650	five	54
651	matrix	54
652	create	54
653	criterion	54
654	attempt	54
655	kernel	54
656	ambiguity	53
657	spanish	53
658	account	53
659	ir	53
660	learn	53
661	inc	53
662	labeled	53
663	focused	53
664	low	53
665	ensemble	53
666	output	53
667	format	53
668	created	53
669	complexity	52
670	investigate	52
671	computing	52
672	achieves	52
673	attribute	52
674	probabilistic	52
675	reduce	52
676	distance	52
677	property	52
678	defined	52
679	wide	51
680	life	51
681	currently	51
682	affect	51
683	train	51
684	f-measure	51
685	linguistics	51
686	society	51
687	explore	51
688	naïve	51
689	suitable	51
690	lda	51
691	person	51
692	integrated	51
693	whether	50
694	stage	50
695	improving	50
696	every	50
697	expressed	50
698	require	50
699	improves	50
700	either	50
701	wordnet	50
702	noun	50
703	critical	50
704	artificial	50
705	generating	50
706	enables	50
707	solve	49
708	pipeline	49
709	regarding	49
710	evolution	49
711	classifying	49
712	exploit	49
713	intelligent	49
714	large-scale	49
715	workflow	49
716	rank	49
717	reported	48
718	morphological	48
719	mine	48
720	following	48
721	implement	48
722	emotional	48
723	would	47
724	classified	47
725	predictive	47
726	semantically	47
727	link	47
728	represented	47
729	end	47
730	dimension	47
731	library	47
732	integration	47
733	parallel	47
734	necessary	46
735	strength	46
736	top	46
737	relevance	46
738	hierarchy	46
739	increasingly	46
740	structural	46
741	instance	46
742	filtering	46
743	assessment	46
744	blog	46
745	another	46
746	tag	46
747	chapter	46
748	overcome	45
749	llc	45
750	utilized	45
751	proposal	45
752	degree	45
753	certain	45
754	price	45
755	practice	45
756	diverse	45
757	share	45
758	conditional	45
759	journal	45
760	german	45
761	adopted	44
762	evidence	44
763	testing	44
764	local	44
765	facebook	44
766	contains	44
767	cnn	44
768	image	44
769	included	44
770	regression	43
771	others	43
772	disambiguation	43
773	emerging	43
774	f-score	43
775	required	43
776	fundamental	43
777	comparing	43
778	derived	43
779	risk	43
780	experience	43
781	conduct	43
782	object	43
783	rather	43
784	innovation	43
785	ass	43
786	express	43
787	sample	43
788	underlying	43
789	discovering	43
790	respect	43
791	free	43
792	chemical	43
793	scenario	42
794	initial	42
795	increased	42
796	cost	42
797	art	42
798	enable	42
799	additional	42
800	pre-processing	42
801	needed	42
802	length	42
803	graph-based	42
804	negation	42
805	narrative	42
806	interface	42
807	past	41
808	gap	41
809	performs	41
810	memory	41
811	reduction	41
812	setting	41
813	broad	41
814	brand	41
815	recognize	41
816	rule-based	41
817	part-of-speech	41
818	discussion	41
819	weighted	40
820	introduces	40
821	containing	40
822	binary	40
823	formal	40
824	cannot	40
825	yet	40
826	explored	40
827	efficiently	40
828	utilize	40
829	filter	40
830	competitive	40
831	ml	40
832	probability	40
833	unique	40
834	particularly	40
835	element	40
836	sense	40
837	detailed	40
838	variant	39
839	ii	39
840	extended	39
841	systematic	39
842	day	39
843	select	39
844	represents	39
845	frame	39
846	n-gram	39
847	comparable	39
848	dirichlet	39
849	now	39
850	rely	39
851	http	39
852	weighting	39
853	instead	39
854	theme	39
855	advance	38
856	qualitative	38
857	validation	38
858	typically	38
859	around	38
860	modern	38
861	becomes	38
862	repository	38
863	statistic	38
864	successfully	38
865	inference	38
866	studied	38
867	active	38
868	conventional	38
869	extensive	38
870	implicit	38
871	external	38
872	cause	38
873	subjective	38
874	variation	38
875	place	38
876	suggest	38
877	reputation	38
878	rapid	37
879	comparative	37
880	independent	37
881	classical	37
882	yield	37
883	prior	37
884	final	37
885	reveal	37
886	le	37
887	enhance	37
888	security	37
889	forest	37
890	allocation	37
891	k-means	37
892	measuring	37
893	lead	37
894	distributed	37
895	terminology	37
896	ie	37
897	capable	36
898	opportunity	36
899	cover	36
900	transfer	36
901	must	36
902	availability	36
903	well-known	36
904	full	36
905	massive	36
906	vec	36
907	generally	36
908	statement	36
909	track	36
910	processed	36
911	scope	36
912	parsing	36
913	file	36
914	manner	36
915	reaction	36
916	lstm	35
917	define	35
918	curation	35
919	detail	35
920	stop	35
921	citation	35
922	representing	35
923	resolution	35
924	unit	35
925	success	35
926	estimate	35
927	run	35
928	allow	35
929	noisy	35
930	noise	35
931	alternative	35
932	difficulty	35
933	selecting	35
934	lot	35
935	reasoning	35
936	title	35
937	leading	35
938	frequent	35
939	taken	35
940	hypothesis	35
941	scale	34
942	predicting	34
943	investigated	34
944	situation	34
945	complete	34
946	primary	34
947	tf-idf	34
948	analyse	34
949	tackle	34
950	performing	34
951	series	34
952	correct	34
953	background	34
954	grammar	34
955	highest	34
956	additionally	34
957	firm	34
958	proper	34
959	exist	34
960	cosine	34
961	million	34
962	marketing	34
963	diagnosis	34
964	mentioned	34
965	linked	34
966	outcome	33
967	outperformed	33
968	commonly	33
969	vast	33
970	daily	33
971	interactive	33
972	taking	33
973	chain	33
974	demonstrated	33
975	leverage	33
976	recurrent	33
977	coverage	33
978	learned	33
979	enhanced	33
980	publicly	33
981	verb	33
982	dimensionality	33
983	constraint	33
984	metadata	33
985	t	33
986	technological	33
987	raw	33
988	historical	33
989	sa	33
990	special	33
991	extremely	32
992	io	32
993	political	32
994	frequently	32
995	institute	32
996	infrastructure	32
997	education	32
998	easy	32
999	implication	32
1000	retrieved	32
1001	investigation	32
1002	capability	32
1003	despite	32
1004	demonstrates	32
1005	healthcare	32
1006	taxonomy	32
1007	integrate	32
1008	bag	32
1009	indicator	32
1010	acquisition	32
1011	integrating	32
1012	directly	32
1013	labeling	32
1014	popularity	32
1015	stem	32
1016	observed	32
1017	extension	32
1018	toward	31
1019	progress	31
1020	reducing	31
1021	discourse	31
1022	usage	31
1023	involves	31
1024	retrieve	31
1025	google	31
1026	highlight	31
1027	demand	31
1028	generic	31
1029	c	31
1030	suggested	31
1031	po	31
1032	economic	31
1033	reader	31
1034	concern	31
1035	version	31
1036	established	31
1037	power	31
1038	crime	31
1039	team	31
1040	item	31
1041	linear	31
1042	abbreviation	31
1043	convolutional	30
1044	today	30
1045	reading	30
1046	stream	30
1047	heterogeneous	30
1048	food	30
1049	collect	30
1050	extend	30
1051	entropy	30
1052	thesaurus	30
1053	igi	30
1054	core	30
1055	bag-of-words	30
1056	besides	30
1057	email	30
1058	creating	30
1059	third	30
1060	co-occurrence	30
1061	optimization	30
1062	treatment	30
1063	satisfaction	30
1064	next	30
1065	utilizing	30
1066	variable	30
1067	crf	30
1068	relies	30
1069	workshop	30
1070	outperform	30
1071	might	30
1072	node	30
1073	segment	30
1074	searching	30
1075	sharing	30
1076	representative	29
1077	user-generated	29
1078	conclusion	29
1079	accurately	29
1080	followed	29
1081	policy	29
1082	employing	29
1083	linking	29
1084	reason	29
1085	becoming	29
1086	calculated	29
1087	joint	29
1088	already	29
1089	numerous	29
1090	reliable	29
1091	paraphrase	29
1092	note	29
1093	obtaining	29
1094	neutral	29
1095	real-time	29
1096	contained	29
1097	fast	29
1098	potentially	29
1099	table	28
1100	expansion	28
1101	time-consuming	28
1102	professional	28
1103	acm	28
1104	conference	28
1105	feeling	28
1106	consideration	28
1107	gain	28
1108	powerful	28
1109	turkish	28
1110	evaluating	28
1111	root	28
1112	relatively	28
1113	semi-supervised	28
1114	measurement	28
1115	bias	28
1116	numerical	28
1117	tm	28
1118	conversation	28
1119	mostly	28
1120	actual	28
1121	judgment	28
1122	six	28
1123	phenomenon	28
1124	newspaper	28
1125	accessible	28
1126	freely	28
1127	monitoring	28
1128	qa	28
1129	go	28
1130	quantitative	28
1131	spatial	28
1132	care	28
1133	far	28
1134	medline	28
1135	condition	27
1136	operation	27
1137	section	27
1138	wiley	27
1139	central	27
1140	considerable	27
1141	r	27
1142	illustrate	27
1143	supporting	27
1144	fully	27
1145	robust	27
1146	examine	27
1147	signal	27
1148	orientation	27
1149	government	27
1150	applies	27
1151	applicable	27
1152	discipline	27
1153	strong	27
1154	pubmed	27
1155	bug	27
1156	seed	27
1157	ontology-based	27
1158	whole	26
1159	assist	26
1160	detected	26
1161	involved	26
1162	early	26
1163	thereby	26
1164	tracking	26
1165	focusing	26
1166	style	26
1167	decade	26
1168	feasible	26
1169	correlated	26
1170	optimal	26
1171	embedded	26
1172	clef	26
1173	recognizing	26
1174	informative	26
1175	ceur-ws	26
1176	position	26
1177	cross-lingual	26
1178	causal	26
1179	functional	26
1180	rapidly	26
1181	calculation	26
1182	explicit	26
1183	crisis	26
1184	bilingual	26
1185	string	26
1186	cqa	26
1187	bidirectional	25
1188	law	25
1189	summarize	25
1190	validate	25
1191	writing	25
1192	story	25
1193	city	25
1194	compute	25
1195	assigning	25
1196	short-term	25
1197	integrates	25
1198	naive	25
1199	date	25
1200	mobile	25
1201	applicability	25
1202	posted	25
1203	sparse	25
1204	heuristic	25
1205	handle	25
1206	identifies	25
1207	emergency	25
1208	microblog	25
1209	continuous	25
1210	bow	25
1211	th	25
1212	generates	25
1213	specialized	25
1214	act	25
1215	api	25
1216	preliminary	25
1217	fine-grained	25
1218	markov	25
1219	urdu	25
1220	argument	24
1221	modified	24
1222	total	24
1223	estimation	24
1224	consisting	24
1225	typical	24
1226	incorporate	24
1227	modelling	24
1228	token	24
1229	ai	24
1230	possibility	24
1231	supply	24
1232	taylor	24
1233	calculate	24
1234	preference	24
1235	computed	24
1236	gold	24
1237	enterprise	24
1238	helpful	24
1239	maximum	24
1240	sentimental	24
1241	aid	24
1242	synonym	24
1243	coding	24
1244	stored	24
1245	unlabeled	24
1246	history	24
1247	century	24
1248	normalization	24
1249	examined	24
1250	feature-based	24
1251	incorporating	24
1252	incorporates	24
1253	added	24
1254	log	24
1255	punjabi	24
1256	read	23
1257	correctly	23
1258	visual	23
1259	update	23
1260	measured	23
1261	whereas	23
1262	dealing	23
1263	serve	23
1264	exploiting	23
1265	constructing	23
1266	francis	23
1267	sector	23
1268	line	23
1269	turn	23
1270	commercial	23
1271	multi-label	23
1272	profile	23
1273	keyphrase	23
1274	occurrence	23
1275	scoring	23
1276	latter	23
1277	readability	23
1278	whose	23
1279	speed	23
1280	country	23
1281	networking	23
1282	writer	23
1283	refers	23
1284	member	23
1285	web-based	23
1286	regular	23
1287	smart	23
1288	scientist	23
1289	mutual	23
1290	cell	22
1291	attitude	22
1292	national	22
1293	analyst	22
1294	addressed	22
1295	behind	22
1296	participant	22
1297	though	22
1298	try	22
1299	presence	22
1300	adapted	22
1301	population	22
1302	educational	22
1303	personal	22
1304	consequently	22
1305	ranked	22
1306	parser	22
1307	bigram	22
1308	theoretical	22
1309	alignment	22
1310	changing	22
1311	extensively	22
1312	unlike	22
1313	era	22
1314	engineer	22
1315	creation	22
1316	knowledge-based	22
1317	revealed	22
1318	nowadays	22
1319	larger	22
1320	notion	22
1321	match	22
1322	topical	22
1323	www	22
1324	com	22
1325	exploring	22
1326	determining	22
1327	period	22
1328	boundary	22
1329	suggestion	22
1330	functionality	22
1331	describing	21
1332	showing	21
1333	quite	21
1334	attribution	21
1335	largely	21
1336	resolve	21
1337	concerning	21
1338	symptom	21
1339	proved	21
1340	personality	21
1341	acquired	21
1342	vital	21
1343	always	21
1344	perception	21
1345	pose	21
1346	investor	21
1347	expected	21
1348	movement	21
1349	principle	21
1350	working	21
1351	guide	21
1352	course	21
1353	proximity	21
1354	internal	21
1355	lexicon-based	21
1356	license	21
1357	causality	21
1358	remains	21
1359	reveals	21
1360	quantity	21
1361	french	21
1362	centrality	21
1363	hindi	21
1364	transformation	20
1365	triple	20
1366	allowing	20
1367	removal	20
1368	enhancement	20
1369	innovative	20
1370	span	20
1371	predefined	20
1372	creates	20
1373	brief	20
1374	programming	20
1375	efficacy	20
1376	received	20
1377	firstly	20
1378	conclude	20
1379	studying	20
1380	evolving	20
1381	explores	20
1382	loss	20
1383	prototype	20
1384	sparsity	20
1385	mathematical	20
1386	entire	20
1387	sale	20
1388	cross	20
1389	salient	20
1390	almost	20
1391	computation	20
1392	employee	20
1393	status	20
1394	edge	20
1395	emerged	20
1396	n-grams	20
1397	starting	20
1398	scalability	20
1399	fake	20
1400	usefulness	20
1401	energy	20
1402	dbpedia	20
1403	interpretation	20
1404	sarcasm	20
1405	typo	20
1406	discovered	20
1407	learner	20
1408	attack	20
1409	rdf	20
1410	genre	20
1411	doctor	20
1412	trigger	20
1413	schema	20
1414	bioc	20
1415	introducing	19
1416	enormous	19
1417	iii	19
1418	categorized	19
1419	decision-making	19
1420	reflect	19
1421	scalable	19
1422	achieving	19
1423	little	19
1424	incorporated	19
1425	successful	19
1426	retrieving	19
1427	validated	19
1428	personalized	19
1429	trading	19
1430	rouge	19
1431	indian	19
1432	fusion	19
1433	separate	19
1434	foundation	19
1435	store	19
1436	impression	19
1437	beneficial	19
1438	london	19
1439	simultaneously	19
1440	subset	19
1441	diversity	19
1442	grammatical	19
1443	composed	19
1444	examines	19
1445	solving	19
1446	hospital	19
1447	reviewer	19
1448	exploited	19
1449	occur	19
1450	quickly	19
1451	organized	19
1452	ambiguous	19
1453	transition	19
1454	considers	19
1455	relative	19
1456	return	19
1457	upon	19
1458	program	19
1459	sufficient	19
1460	per	19
1461	tagger	19
1462	ne	19
1463	believe	19
1464	thought	19
1465	assign	19
1466	developer	19
1467	block	19
1468	institution	19
1469	sentiwordnet	19
1470	cycle	19
1471	collaboration	19
1472	hard	19
1473	multi-document	19
1474	asis	19
1475	logistic	18
1476	uncertainty	18
1477	adopt	18
1478	lie	18
1479	textrank	18
1480	election	18
1481	uk	18
1482	utilizes	18
1483	close	18
1484	significance	18
1485	pre-trained	18
1486	distinct	18
1487	regard	18
1488	forecasting	18
1489	genetic	18
1490	verify	18
1491	deeper	18
1492	feasibility	18
1493	avoid	18
1494	shallow	18
1495	precise	18
1496	synthesis	18
1497	full-text	18
1498	syntax	18
1499	presenting	18
1500	center	18
1501	sequential	18
1502	come	18
1503	adverse	18
1504	shift	18
1505	graphical	18
1506	cognitive	18
1507	action	18
1508	compound	18
1509	package	18
1510	coefficient	18
1511	subjectivity	18
1512	fragment	18
1513	ontological	18
1514	characterize	17
1515	learning-based	17
1516	originality	17
1517	lsa	17
1518	cloud	17
1519	analyzes	17
1520	spam	17
1521	plagiarism	17
1522	customized	17
1523	adjective	17
1524	vsm	17
1525	drawback	17
1526	infer	17
1527	mined	17
1528	mental	17
1529	china	17
1530	know	17
1531	amazon	17
1532	agency	17
1533	optimized	17
1534	neighbor	17
1535	prove	17
1536	bert	17
1537	motivation	17
1538	alliance	17
1539	involving	17
1540	net	17
1541	grouping	17
1542	restricted	17
1543	alone	17
1544	unified	17
1545	suffer	17
1546	enough	17
1547	duc	17
1548	evolutionary	17
1549	resulted	17
1550	exploration	17
1551	sampling	17
1552	medicine	17
1553	india	17
1554	transform	17
1555	job	17
1556	depending	17
1557	e-commerce	17
1558	greater	17
1559	paradigm	17
1560	majority	17
1561	cultural	17
1562	collaborative	17
1563	death	17
1564	molecular	17
1565	observation	17
1566	normalized	17
1567	p	17
1568	portuguese	17
1569	respective	17
1570	disaster	17
1571	beyond	17
1572	robustness	17
1573	specified	17
1574	satisfactory	17
1575	completely	17
1576	acronym	17
1577	participation	17
1578	semi-structured	17
1579	recipe	17
1580	connected	17
1581	aimed	17
1582	addressing	17
1583	biology	17
1584	planning	17
1585	chunking	17
1586	logic	17
1587	call	17
1588	tagged	17
1589	partially	17
1590	on-line	17
1591	emerald	16
1592	supported	16
1593	introduction	16
1594	fail	16
1595	cited	16
1596	contribute	16
1597	official	16
1598	adequate	16
1599	gmbh	16
1600	trait	16
1601	secondly	16
1602	k-nearest	16
1603	modeled	16
1604	family	16
1605	coherence	16
1606	add	16
1607	industrial	16
1608	decomposition	16
1609	eight	16
1610	hypernymy	16
1611	determined	16
1612	dimensional	16
1613	thousand	16
1614	contributes	16
1615	clear	16
1616	accident	16
1617	handling	16
1618	rnn	16
1619	dictionary-based	16
1620	minimum	16
1621	permitted	16
1622	sophisticated	16
1623	portal	16
1624	controlled	16
1625	seven	16
1626	overload	16
1627	provider	16
1628	reduces	16
1629	failure	16
1630	novelty	16
1631	irony	16
1632	practitioner	16
1633	driven	16
1634	ongoing	16
1635	stance	16
1636	assigned	16
1637	seek	16
1638	bionlp	16
1639	region	16
1640	essay	16
1641	reliability	16
1642	exchange	16
1643	documentation	16
1644	automation	16
1645	traffic	16
1646	environmental	16
1647	monitor	16
1648	keyphrases	16
1649	device	16
1650	timely	16
1651	airline	16
1652	treat	16
1653	divided	16
1654	k	16
1655	icd	16
1656	monolingual	16
1657	synset	16
1658	adapt	15
1659	face	15
1660	intention	15
1661	latest	15
1662	minimal	15
1663	facet	15
1664	newly	15
1665	nevertheless	15
1666	derive	15
1667	start	15
1668	analytical	15
1669	private	15
1670	subsequently	15
1671	office	15
1672	verification	15
1673	skill	15
1674	caused	15
1675	irrelevant	15
1676	compact	15
1677	stakeholder	15
1678	explicitly	15
1679	artifact	15
1680	interpret	15
1681	put	15
1682	surface	15
1683	percentage	15
1684	intended	15
1685	guideline	15
1686	claim	15
1687	emoticon	15
1688	authorship	15
1689	paragraph	15
1690	japanese	15
1691	adoption	15
1692	adding	15
1693	gender	15
1694	decrease	15
1695	maintenance	15
1696	complement	15
1697	j	15
1698	passage	15
1699	suggests	15
1700	letter	15
1701	conjunction	15
1702	concerned	15
1703	safety	15
1704	prominent	15
1705	ad	15
1706	creative	15
1707	culture	15
1708	hotel	15
1709	proceeding	15
1710	enrich	15
1711	mapped	15
1712	convert	15
1713	chat	15
1714	reach	15
1715	ranging	15
1716	spectrum	15
1717	sensitive	15
1718	solved	15
1719	regularization	15
1720	presentation	15
1721	explanation	15
1722	traditionally	15
1723	text-based	15
1724	illustrated	15
1725	window	15
1726	choice	15
1727	affective	15
1728	protocol	15
1729	curated	15
1730	bursty	15
1731	inverse	14
1732	automate	14
1733	consistency	14
1734	rhetorical	14
1735	gained	14
1736	tokenization	14
1737	activation	14
1738	threshold	14
1739	path	14
1740	periodical	14
1741	coreference	14
1742	teaching	14
1743	reasonable	14
1744	granularity	14
1745	stroke	14
1746	multi-task	14
1747	investigating	14
1748	interested	14
1749	recommender	14
1750	fixed	14
1751	knn	14
1752	assessing	14
1753	youtube	14
1754	sport	14
1755	mixture	14
1756	covered	14
1757	factorization	14
1758	desired	14
1759	analysing	14
1760	depends	14
1761	empirically	14
1762	superior	14
1763	properly	14
1764	conflict	14
1765	python	14
1766	viewpoint	14
1767	tremendous	14
1768	content-based	14
1769	production	14
1770	accordingly	14
1771	contrast	14
1772	multi-word	14
1773	relying	14
1774	defect	14
1775	cantemist	14
1776	faced	14
1777	complicated	14
1778	observe	14
1779	finance	14
1780	flexibility	14
1781	preparation	14
1782	implementing	14
1783	assumption	14
1784	submitted	14
1785	edition	14
1786	direct	14
1787	debate	14
1788	tailored	14
1789	geographical	14
1790	geographic	14
